go,z1,z2,z3,z4,t,p,nparts,sum_scores_1,sum_scores_2,sum_scores_3,sum_scores_4,m_score,wishart_p
GO:0031982,0.48106650134119183,-0.15092445827894468,0.24252517130211737,-0.7562778543518558,0.8849778225176158,5252.262577106404,12,6,4,6,4,29.061300972257722,6.716640295275284
GO:0031985,-0.9268919982233768,-1.1851043137527986,0.7219099572200052,-1.8332598626921104,6.145596721337302,,3,0,0,3,0,0.0020889556930678956,5515
GO:0031998,-0.7564187111277173,-0.9671408095862676,-1.3845090365846062,1.7756216856186033,6.577228254934781,,2,0,0,0,4,0.0013912189646297255,5515
GO:0031999,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,1.2549153383778542,3.2852686400538933,,1,0,0,0,2,0,5515
GO:0032000,-0.9268919982233768,-0.34529807134193663,-1.4330747863277349,0.9518070376967442,3.937999514660321,,3,0,1,0,4,7.69349088780643,3632.994895809193
GO:0032006,-0.7564187111277173,-0.9671408095862676,0.5891368146853098,0.595565179676176,2.2093106817715666,,2,0,0,2,2,27.886339938005204,10.38168419572616
GO:0032007,-0.1493457695347129,-1.004982449207527,0.14546696043650198,-1.7547283892648569,4.13252623876375,,3,1,0,2,0,1.4178501295098496,5510.418052195133
GO:0032008,-0.5345966714184823,0.7695826972713727,-0.5226366936271196,-0.8629304710337725,1.895849240395259,,1,0,1,0,0,0,5515
GO:0032009,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0032012,2.1561609995574083,-0.060198519470793965,-0.18358567411322918,-0.14132338683140033,4.706330117163985,,1,2,0,0,0,0,5515
GO:0032014,2.1561609995574083,-0.060198519470793965,-0.18358567411322918,-0.14132338683140033,4.706330117163985,,1,2,0,0,0,0,5515
GO:0032020,2.4195635732986993,1.9111613311531035,2.1936519743064427,3.5929456700312494,27.22819309110373,2834.281668269447,5,6,4,4,4,358.510097555667,0.0000000000000000000000000000000000000000000000000000000000000000003431517953453107
GO:0032024,-0.7564187111277173,0.0608837445673617,0.9116432637158689,-0.9027402561505576,2.221909507249957,,2,0,1,2,0,15.020901421227464,724.1287889108966
GO:0032025,-0.5345966714184823,-0.6835238869580222,1.8112390170069723,-0.41308750418014684,4.204226567972092,,1,0,0,2,0,0,5515
GO:0032026,-0.7564187111277173,-0.9671408095862676,2.562782665955226,-0.5844913262662514,8.417015715512356,,2,0,0,4,0,0.0013912189646297255,5515
GO:0032040,-2.3518853836031823,7.759657802432373,0.36481573994731065,-0.3328047727614658,65.98750360934197,0.3654798772233289,19,0,32,4,1,18.3760982109347,269.910944084805
GO:0032042,2.1561609995574083,-0.060198519470793965,-0.18358567411322918,-0.14132338683140033,4.706330117163985,,1,2,0,0,0,0,5515
GO:0032049,-0.9268919982233768,-1.1851043137527986,-1.6965343778514108,2.1757916720728776,9.875899306339381,,3,0,0,0,6,0.0020889556930678956,5515
GO:0032057,-0.7564187111277173,-0.9671408095862676,0.5891368146853098,0.595565179676176,2.2093106817715666,,2,0,0,2,2,27.886339938005204,10.38168419572616
GO:0032059,-0.7564187111277173,1.0889082987209908,0.24732678711147008,-0.7651908132081761,2.4045780698086316,,2,0,2,1,0,23.624070603300233,47.777842713417165
GO:0032060,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0032079,-0.9268919982233768,1.3343144134797873,-0.9061556032803835,0.21253572810492116,3.5058131434679587,,3,0,3,0,2,12.79850713611912,1296.8894478550033
GO:0032088,-1.4187463179692883,2.0423670338791524,-1.3870061756121213,-0.048313375218458354,8.110224529238904,2847.669499219477,7,0,7,0,4,19.646437358487823,180.7807523608855
GO:0032091,-1.4187463179692883,-0.16125912416014154,0.5658191338818537,1.0219920022572602,3.4034645648209243,4336.905980527939,7,0,3,5,6,26.51238241495752,17.14541700738955
GO:0032092,-1.6103562239641116,0.8591446604440753,1.7028210823806917,-0.7268869921563323,6.75934105359575,2558.6764243813222,9,0,6,8,2,31.76917839881332,2.4127120940859044
GO:0032094,-0.7564187111277173,-0.9671408095862676,-0.3976861109496483,0.13976680684948828,1.6852196152504562,,2,0,0,1,2,13.239959159308487,1161.2560538381979
GO:0032099,-0.5345966714184823,0.7695826972713727,-0.5226366936271196,-0.8629304710337725,1.895849240395259,,1,0,1,0,0,0,5515
GO:0032147,-0.1493457695347129,-0.165176206796665,-1.203369671420766,-0.3060120004643318,1.5913292486931556,,3,1,1,0,2,6.926157117239298,4039.1711351942736
GO:0032154,-1.197834080982263,-0.2291745862966741,-0.533731681865221,-1.8211524277617106,5.088793149935926,4682.901190102522,5,0,2,2,1,1.7993216756879589,5502.092941531774
GO:0032183,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0032184,2.1561609995574083,-0.060198519470793965,-0.18358567411322918,-0.14132338683140033,4.706330117163985,,1,2,0,0,0,0,5515
GO:0032204,-0.7564187111277173,-0.9671408095862676,0.5891368146853098,0.595565179676176,2.2093106817715666,,2,0,0,2,2,27.886339938005204,10.38168419572616
GO:0032205,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,1.2549153383778542,3.2852686400538933,,1,0,0,0,2,0,5515
GO:0032211,-1.070828612733914,-1.369138595082631,0.1355141593354734,-0.9600421019009773,3.9612593351973255,,4,0,0,3,2,6.607677452187527,4201.825970700348
GO:0032212,0.628200459153951,0.01494565774860665,-0.9736645565137972,0.1448669205350369,1.363868282843288,,3,2,1,0,2,14.313964611136623,877.6920726216199
GO:0032217,-0.2594691614059822,-0.2869725201810294,-2.090700797737456,-0.5316566876184055,4.803366132209187,3298.328095108347,9,3,3,0,6,11.738734841225211,1670.6177246580144
GO:0032218,-0.2115305015508887,-0.23395243117248588,-1.704429867279214,-0.4334295650990322,3.192421253513263,4677.545245547372,6,2,2,0,4,8.880664131318081,2997.2110620186354
GO:0032228,1.1472028022985585,-0.5261588541273514,1.1515105776169643,-0.3922272565796088,3.072736240545994,,2,2,0,2,0,34.089243423365595,0.9837541218921038
GO:0032233,-0.5345966714184823,-0.6835238869580222,1.8112390170069723,-0.41308750418014684,4.204226567972092,,1,0,0,2,0,0,5515
GO:0032259,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,-0.22335436808893955,1.7603433073022983,,1,0,0,0,1,0,5515
GO:0032273,-0.5345966714184823,-0.6835238869580222,0.41637068928570714,-1.0573557893679402,2.044364321340079,,1,0,0,1,0,0,5515
GO:0032280,-0.5345966714184823,-0.6835238869580222,1.8112390170069723,-0.41308750418014684,4.204226567972092,,1,0,0,2,0,0,5515
GO:0032281,-0.7564187111277173,-0.9671408095862676,0.5891368146853098,-1.496088071919627,4.092892317469038,,2,0,0,2,0,0.0013912189646297255,5515
GO:0032287,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,1.2549153383778542,3.2852686400538933,,1,0,0,0,2,0,5515
GO:0032308,-0.5345966714184823,-0.6835238869580222,1.8112390170069723,-0.41308750418014684,4.204226567972092,,1,0,0,2,0,0,5515
GO:0032311,-0.7564187111277173,3.144957407028249,-0.09448324046236944,-0.03429355449672522,10.473029489174253,,2,0,4,0,0,0.0013912189646297255,5515
GO:0032331,0.19539204558542064,-0.7466498318568094,-1.103322155118779,0.2358988416928096,1.8686320643778127,,2,1,0,0,2,11.525423675913451,1754.1682343825719
GO:0032332,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0032355,-0.9268919982233768,-1.1851043137527986,-0.8903862661609387,-0.014907819095673736,3.056610956884224,,3,0,0,1,3,5.009958875741673,4911.172376287223
GO:0032357,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0032358,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0032361,-0.5345966714184823,0.7695826972713727,-0.5226366936271196,-0.8629304710337725,1.895849240395259,,1,0,1,0,0,0,5515
GO:0032366,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0032367,2.1561609995574083,-0.060198519470793965,-0.18358567411322918,-0.14132338683140033,4.706330117163985,,1,2,0,0,0,0,5515
GO:0032374,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,1.2549153383778542,3.2852686400538933,,1,0,0,0,2,0,5515
GO:0032383,-0.5345966714184823,2.222689281500768,-0.06677574881868098,-0.024236867511811533,5.231187669567201,,1,0,2,0,0,0,5515
GO:0032387,-0.5345966714184823,-0.6835238869580222,-0.9784976384355584,1.2549153383778542,3.2852686400538933,,1,0,0,0,2,0,5515
