go,z,t,p,nparts,nhits
GO:0008273,-0.7152430383487386,0.5115726039063353,0.5139873195200801,5,0
GO:0008275,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008276,1.1686115252630875,1.3656528969777202,0.272581535830125,10,2
GO:0008277,0.3719949306605276,0.13838022843713077,0.7116426967821077,46,5
GO:0008278,0.3139432167601602,0.09856034334971694,0.7627132480967307,8,1
GO:0008281,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008282,1.083652270410898,1.1743022431666936,0.35783769368441276,4,1
GO:0008283,1.5350854768266085,2.356487421163976,0.12741735593423298,120,16
GO:0008284,0.41539459922667965,0.17255267306669383,0.6780528288152714,447,44
GO:0008285,1.3789865161843327,1.9016038118182026,0.16877950469533887,351,40
GO:0008286,0.8892717538841743,0.7908042522562357,0.37724012565739784,64,8
GO:0008287,-0.8463313363113086,0.7162767308224856,0.4298235810047297,7,0
GO:0008289,-1.4373775292283224,2.0660541615305177,0.15287432021621616,139,8
GO:0008290,0.3139432167601602,0.09856034334971694,0.7627132480967307,8,1
GO:0008292,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008294,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008295,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008296,0.45651509606467044,0.2084060329349353,0.6640790992388472,7,1
GO:0008298,0.6236680749290999,0.3889618676857694,0.5601906995237584,6,1
GO:0008299,2.751409591313007,7.57025473916921,0.028446089531804015,8,3
GO:0008301,3.698190217053668,13.676610881511452,0.0019498043435089687,17,6
GO:0008303,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008305,-1.6630337244894446,2.7656811687892344,0.1083156109328477,27,0
GO:0008306,-0.5431742338357954,0.2950382483031034,0.591023287967264,31,2
GO:0008307,0.10517064685268247,0.011060864959411651,0.9167660300975136,41,4
GO:0008308,0.6236680749290999,0.3889618676857694,0.5601906995237584,6,1
GO:0008309,4.421842414492276,19.552690338602883,0.14158985978872873,2,2
GO:0008310,-0.553995839020833,0.3069113896523967,0.6352535730857058,3,0
GO:0008311,0.6236680749290999,0.3889618676857694,0.5601906995237584,6,1
GO:0008312,-0.8463313363113086,0.7162767308224856,0.4298235810047297,7,0
GO:0008315,4.421842414492276,19.552690338602883,0.14158985978872873,2,2
GO:0008318,-0.3198328853764785,0.10229307456824367,,1,0
GO:0008320,0.46901002449632645,0.21997040307804475,0.6432950485727178,25,3
GO:0008324,-0.6397160569659002,0.40923663353999873,0.5678593191257792,4,0
GO:0008327,-1.083155116354474,1.1732250060848743,0.28797927818551405,29,1
GO:0008328,-0.4523238558346804,0.20459687055715273,0.7295736195670907,2,0
GO:0008330,-1.0116389731356576,1.0234134119669678,0.3381337178382363,10,0
